Pickup Location,Dropoff Location,Rate,Truck Type,Moving Type
"New York City, NY","Jacksonville, FL",1575.00,10' Truck,Studio to 1 Bedroom Apt.
"New York City, NY","Jacksonville, FL",1749.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"New York City, NY","Jacksonville, FL",2274.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"New York City, NY","Jacksonville, FL",2799.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"New York City, NY","Indianapolis, IN",1159.00,10' Truck,Studio to 1 Bedroom Apt.
"New York City, NY","Indianapolis, IN",1220.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"New York City, NY","Indianapolis, IN",1829.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"New York City, NY","Indianapolis, IN",2196.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"New York City, NY","Columbus, OH",843.00,10' Truck,Studio to 1 Bedroom Apt.
"New York City, NY","Columbus, OH",937.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"New York City, NY","Columbus, OH",1218.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"New York City, NY","Columbus, OH",1498.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"New York City, NY","Fort Worth, TX",1861.00,10' Truck,Studio to 1 Bedroom Apt.
"New York City, NY","Fort Worth, TX",2068.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"New York City, NY","Fort Worth, TX",2688.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"New York City, NY","Fort Worth, TX",3308.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"New York City, NY","Charlotte, NC",1323.00,10' Truck,Studio to 1 Bedroom Apt.
"New York City, NY","Charlotte, NC",1392.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"New York City, NY","Charlotte, NC",1810.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"New York City, NY","Charlotte, NC",2645.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"New York City, NY","Seattle, WA",2831.00,10' Truck,Studio to 1 Bedroom Apt.
"New York City, NY","Seattle, WA",2980.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"New York City, NY","Seattle, WA",3873.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"New York City, NY","Seattle, WA",4767.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"New York City, NY","Denver, CO",2191.00,10' Truck,Studio to 1 Bedroom Apt.
"New York City, NY","Denver, CO",2435.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"New York City, NY","Denver, CO",3165.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"New York City, NY","Denver, CO",3895.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"New York City, NY","Washington, DC",360.00,9' Cargo Van,Apartment - 1 bedroom / Studio / Deliveries
"New York City, NY","Washington, DC",379.00,10' Truck,Studio to 1 Bedroom Apt.
"New York City, NY","Washington, DC",399.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"New York City, NY","Washington, DC",519.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"New York City, NY","Washington, DC",638.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Chicago, IL",2768.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Chicago, IL",2914.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Chicago, IL",3788.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Chicago, IL",4808.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Houston, TX",2198.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Houston, TX",3085.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Houston, TX",4010.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Houston, TX",4936.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Miami, FL",2691.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Miami, FL",3777.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Miami, FL",4909.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Miami, FL",6420.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Philadelphia, PA",3387.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Philadelphia, PA",3565.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Philadelphia, PA",4635.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Philadelphia, PA",5882.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Phoenix, AZ",528.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Phoenix, AZ",556.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Phoenix, AZ",695.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Phoenix, AZ",834.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","San Antonio, TX",2009.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","San Antonio, TX",2820.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","San Antonio, TX",3666.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","San Antonio, TX",4512.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","San Diego, CA",189.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","San Diego, CA",199.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","San Diego, CA",219.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","San Diego, CA",248.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Dallas, TX",1728.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Dallas, TX",2426.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Dallas, TX",3275.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Dallas, TX",4124.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","San Francisco, CA",450.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","San Francisco, CA",473.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","San Francisco, CA",521.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","San Francisco, CA",591.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
